Nom;Prénom;Âge;Taille;Poids;Nationalité;Poste;Club;Contrat;Statut JIFF
ZIRAKASHVILI;Davit;36;179;120;Géorgie;Pilier;Clermont;Pro;NON JIFF
JACQUET;Loïc;34;198;117;France;2ème ligne;Castres;Pro;JIFF
JAMES;Brock;38;179;89;Australie;Ouverture;La Rochelle;Pro;NON JIFF
COMBEZOU;Thomas;33;184;94;France;Centre;Castres;Pro;JIFF
PALISSON;Alexis;32;177;85;France;Ailier;Lyon;Pro;JIFF
IGUINIZ;Aretz;36;188;114;France;Pilier;Bayonne;Pro;JIFF
CAPO ORTEGA;Rodrigo;39;195;110;Uruguay;2ème ligne;Castres;Pro;NON JIFF
PURICELLI;Julien;38;196;103;France;3ème ligne;Lyon;Pro;JIFF
WISNIEWSKI;Jonathan;34;180;85;France;Ouverture;Lyon;Pro;JIFF
PICAMOLES;Louis;34;192;118;France;3ème ligne;Montpellier;Pro;JIFF Formé
GORGODZE;Mamuka;35;196;120;Géorgie;2ème ligne;Toulon;Pro;NON JIFF
OUEDRAOGO;Fulgence;33;191;99;France;3ème ligne;Montpellier;Pro;JIFF Formé
TRINH-DUC;François;33;186;90;France;Ouverture;Racing 92;Pro;JIFF
GUIRADO;Guilhem;33;183;105;France;Talonneur;Montpellier;Pro;JIFF
HIRÈCHE;Saïd;34;183;102;France;3ème ligne;Brive;Pro;JIFF
PARISSE;Sergio;36;196;122;Italie;3ème ligne;Toulon;Pro;NON JIFF
ARIAS;Julien;36;178;89;France;Ailier;Paris;Pro;JIFF
CLÉMENT;Stéphane;32;183;121;France;Pilier;Paris;Pro;JIFF
LEDEVEDEC;Julien;33;199;114;France;2ème ligne;Montpellier;Pro;JIFF
MERMOZ;Maxime;33;181;93;France;Centre;Toulouse;Pro;JIFF
HUGET;Yoann;32;190;97;France;Ailier;Toulouse;Pro;JIFF
MÉDARD;Maxime;33;180;85;France;Arrière;Toulouse;Pro;JIFF Formé
DELBOULBÈS;Laurent;33;181;106;France;Pilier;Bordeaux;Pro;JIFF
HUGUES;Rémy;34;183;114;France;Pilier;Toulouse;Pro;JIFF
JOHNSTON;Census;38;189;130;Samoa;Pilier;Bayonne;Pro;NON JIFF
DAVID;Yann;31;185;102;France;Centre;Castres;Pro;JIFF
PARRA;Morgan;31;180;81;France;Mêlée;Clermont;Pro;JIFF
ABENDANON;Nick;33;178;83;Angleterre;Arrière;Clermont;Pro;NON JIFF
TOEAVA;Isaia;34;181;100;Samoa;Arrière;Clermont;Pro;NON JIFF
SAMSON;Christophe;35;198;107;France;2ème ligne;Castres;Pro;JIFF
SAMSON;Christophe;35;198;107;France;2ème ligne;Castres;Pro;JIFF
LAKAFIA;Raphaël;31;191;115;France;3ème ligne;Toulon;Pro;JIFF
THOMAS;Teddy;26;185;90;France;Ailier;Racing 92;Pro;JIFF Formé
LESGOURGUES;Yann;29;174;71;France;Mêlée;Bordeaux;Pro;JIFF
GOMEZ KODELA;Francisco;34;184;121;Argentine;Pilier;Lyon;Pro;NON JIFF
CHAUME;Raphaël;30;185;110;France;Pilier;Lyon;Pro;JIFF
KOTZE;Daniel;32;187;120;Afrique du sud;Pilier;Castres;Pro;NON JIFF
BARDY;Julien;33;188;98;France;3ème ligne;Montpellier;Pro;JIFF
STANLEY;Benson;35;184;98;Samoa;Centre;Pau;Pro;NON JIFF
BUTTIN;Jean-Marcellin;28;190;94;France;Arrière;Lyon;Pro;JIFF
RADOSAVLJEVIC;Ludovic;30;180;95;France;Mêlée;Castres;Pro;JIFF
RIC;Clément;31;182;117;France;Pilier;Lyon;Pro;JIFF
NAKAITACI;Noa;29;190;94;Fidji;Ailier;Lyon;Pro;JIFF
LAPANDRY;Alexandre;30;194;101;France;3ème ligne;Clermont;Pro;JIFF Formé
TICHIT;Antoine;30;182;112;France;Pilier;Castres;Pro;JIFF
JENNEKER;Jody;35;185;106;Afrique du sud;Talonneur;Castres;Pro;NON JIFF
URDAPILLETA;Benjamin;33;178;86;Argentine;Ouverture;Castres;Pro;NON JIFF
AGUILLON;Pierre;32;180;93;France;Centre;La Rochelle;Pro;JIFF
FOFANA;Wesley;32;182;93;France;Centre;Clermont;Pro;JIFF Formé
TOLOFUA;Christopher;26;182;117;France;Talonneur;Toulon;Pro;JIFF
MAESTRI;Yoann;32;202;119;France;2ème ligne;Paris;Pro;JIFF
CAMARA;Yacouba;25;195;112;France;3ème ligne;Montpellier;Pro;JIFF
TEKORI;Iosefa;36;198;127;Samoa;2ème ligne;Toulouse;Pro;NON JIFF
FICKOU;Gaël;25;190;100;France;Centre;Paris;Pro;JIFF
FIRMIN;Kévin;27;183;105;France;Talonneur;Castres;Pro;JIFF
BAILLE;Cyril;26;182;116;France;Pilier;Toulouse;Pro;JIFF Formé
GALAN;Gillian;28;193;120;France;3ème ligne;Toulouse;Pro;JIFF Formé
BÉZY;Sébastien;28;174;74;France;Mêlée;Toulouse;Pro;JIFF Formé
JEDRASIAK;Paul;27;200;118;France;2ème ligne;Clermont;Pro;JIFF Formé
ROUET;Guillaume;31;170;75;France;Mêlée;Bayonne;Pro;JIFF Formé
ÉTRILLARD;Anthony;26;183;110;France;Talonneur;Toulon;Pro;JIFF
MONRIBOT;Jean;32;183;99;France;3ème ligne;Bayonne;Pro;JIFF
OLLIVON;Charles;26;199;114;France;3ème ligne;Toulon;Pro;JIFF
SLIMANI;Rabah;30;178;113;France;Pilier;Clermont;Pro;JIFF
FLANQUART;Alexandre;30;204;120;France;2ème ligne;Bordeaux;Pro;JIFF
PLISSON;Jules;28;184;88;France;Ouverture;La Rochelle;Pro;JIFF
PLISSON;Jules;28;184;88;France;Ouverture;Paris;Pro;JIFF Formé
DANTY;Jonathan;27;181;107;France;Centre;Paris;Pro;JIFF Formé
NAYACALEVU;Waisea;29;193;104;Fidji;Ailier;Paris;Pro;NON JIFF
BONNEVAL;Hugo;29;185;90;France;Arrière;Toulon;Pro;JIFF
BONFILS;Rémi;31;178;101;France;Talonneur;Paris;Pro;JIFF Formé
KAKOVIN;Vasil;30;183;110;Géorgie;Pilier;Racing 92;Pro;JIFF
GUILLAMON;Antoine;28;192;136;France;Pilier;Montpellier;Pro;JIFF
DOUSSAIN;Jean-Marc;29;174;88;France;Ouverture;Lyon;Pro;JIFF
TAOFIFENUA;Sébastien;27;178;130;France;Pilier;Toulon;Pro;JIFF
VAHAAMAHINA;Sébastien;28;203;120;France;2ème ligne;Clermont;Pro;JIFF
TAOFIFENUA;Romain;29;200;127;France;2ème ligne;Toulon;Pro;JIFF
LOPEZ;Camille;30;176;87;France;Ouverture;Clermont;Pro;JIFF
DELONCA;Maxime;31;180;107;France;Talonneur;Bayonne;Pro;JIFF
GUITOUNE;Sofiane;30;186;96;France;Centre;Toulouse;Pro;JIFF
WAQANIBUROTU;Dominiko;33;193;114;Fidji;3ème ligne;Pau;Pro;NON JIFF
NAMY;Guillaume;30;182;83;France;Ailier;Brive;Pro;JIFF Formé
DA ROS;François;36;179;104;France;Talonneur;Brive;Pro;JIFF
ASIESHVILI;Karlen;32;180;118;Géorgie;Pilier;Brive;Pro;NON JIFF
LARANJEIRA;Thomas;27;186;90;France;Ouverture;Brive;Pro;JIFF Formé
JAULHAC;Adam;32;198;125;France;2ème ligne;Bayonne;Pro;JIFF
MADAULE;Louis-Benoît;31;190;104;France;3ème ligne;Toulouse;Pro;JIFF
CONNOR;Blair;31;183;82;Australie;Ailier;Bordeaux;Pro;NON JIFF
MAYNADIER;Clément;31;187;100;France;Talonneur;Bordeaux;Pro;JIFF
MARAIS;Jandré;30;198;118;Afrique du sud;2ème ligne;Bordeaux;Pro;NON JIFF
SAUBUSSE;Emmanuel;30;181;84;France;Mêlée;Bayonne;Pro;JIFF
ALDEGHERI;Dorian;26;180;119;France;Pilier;Toulouse;Pro;JIFF Formé
METZ;Fabrice;29;196;121;France;2ème ligne;Pau;Pro;JIFF
LAURET;Wenceslas;30;188;103;France;3ème ligne;Racing 92;Pro;JIFF
GÉRONDEAU;Camille;31;194;113;France;3ème ligne;Castres;Pro;JIFF
MACHENAUD;Maxime;31;174;87;France;Mêlée;Racing 92;Pro;JIFF
ANDREU;Marc;34;170;75;France;Ailier;La Rochelle;Pro;JIFF
DUMOULIN;Alexandre;30;189;101;France;Centre;Pau;Pro;JIFF
CHAVANCY;Henry;31;181;92;France;Centre;Racing 92;Pro;JIFF Formé
VAKATAWA;Virimi;27;185;98;Fidji;Centre;Racing 92;Pro;JIFF Formé
BEN AROUS;Eddy;29;183;117;France;Pilier;Racing 92;Pro;JIFF Formé
QOVU;Jone;34;197;134;Fidji;2ème ligne;La Rochelle;Pro;NON JIFF
LE ROUX;Bernard;30;196;113;Afrique du sud;3ème ligne;Racing 92;Pro;JIFF Formé
FALL;Benjamin;30;186;93;France;Arrière;Montpellier;Pro;JIFF
IVALDI;Mickaël;29;181;108;France;Talonneur;Lyon;Pro;JIFF
TULOU;Alex;32;192;114;Samoa;3ème ligne;Castres;Pro;NON JIFF
PÉLISSIÉ;Jonathan;31;179;83;France;Mêlée;Lyon;Pro;JIFF
NAGUSA;Timoci;32;183;106;Fidji;Ailier;Montpellier;Pro;NON JIFF
PAILLAUGUE;Benoît;32;172;74;France;Mêlée;Montpellier;Pro;JIFF
BATTUT;Antoine;36;192;104;France;3ème ligne;Bayonne;Pro;JIFF
LAPEYRE;Benjamin;33;181;87;France;Ailier;Castres;Pro;JIFF
BRUNI;Virgile;31;198;109;France;2ème ligne;Lyon;Pro;JIFF
MARTIN;Vincent;27;185;93;France;Centre;Montpellier;Pro;JIFF
CHIOCCI;Xavier;30;180;110;France;Pilier;Lyon;Pro;JIFF
BASTAREAUD;Mathieu;31;183;123;France;Centre;Lyon;Pro;JIFF
TUISOVA;Josua;26;180;91;Fidji;Ailier;Lyon;Pro;JIFF
DIABY;Mahamadou;29;188;105;France;3ème ligne;Bordeaux;Pro;JIFF
NARIASHVILI;Misha;29;186;118;Géorgie;Pilier;Montpellier;Pro;JIFF Formé
GALLETIER;Kélian;27;188;100;France;3ème ligne;Montpellier;Pro;JIFF Formé
MIKAUTADZE;Konstantine;28;200;128;Géorgie;2ème ligne;Montpellier;Pro;JIFF
CAMINATI;Julien;34;178;88;France;Ailier;Castres;Pro;JIFF
ORIOLI;Jean-Charles;30;179;110;France;Talonneur;La Rochelle;Pro;JIFF
CHILACHAVA;Levan;28;188;118;Géorgie;Pilier;Montpellier;Pro;JIFF
WULF;Rudi;36;182;90;Samoa;Centre;Lyon;Pro;NON JIFF
LEBAS;Victor;26;193;108;France;2ème ligne;Brive;Pro;JIFF Formé
GALALA;Seva;27;188;105;Fidji;Centre;Brive;Pro;JIFF Formé
ISA;Facundo;26;188;111;Argentine;3ème ligne;Toulon;Pro;NON JIFF
WIHONGI;Karena;40;186;130;Nouvelle-Zélande;Pilier;Castres;Pro;NON JIFF
GRAY;Richie;30;206;125;Ecosse;2ème ligne;Toulouse;Pro;NON JIFF
CLAASSEN;Antonie;35;191;106;Afrique du sud;3ème ligne;Racing 92;Pro;NON JIFF
KOCKOTT;Rory;33;180;92;Afrique du sud;Mêlée;Castres;Pro;NON JIFF
LAMERAT;Rémi;30;184;105;France;Centre;Bordeaux;Pro;JIFF
RALLIER;Marc-Antoine;31;182;107;France;Talonneur;Castres;Pro;JIFF Formé
PEIKRISHVILI;Anton;32;183;122;Géorgie;Pilier;Agen;Pro;NON JIFF
ROODT;Hendrik;32;198;126;Afrique du sud;2ème ligne;Lyon;Pro;NON JIFF
PALIS;Geoffrey;28;189;93;France;Arrière;Castres;Pro;JIFF
BABILLOT;Mathieu;26;190;111;France;3ème ligne;Castres;Pro;JIFF Formé
GROSSO;Rémy;31;191;104;France;Ailier;Clermont;Pro;JIFF
DULIN;Brice;29;176;82;France;Arrière;Racing 92;Pro;JIFF
CAMARA;Djibril;30;183;90;France;Ailier;Bayonne;Pro;JIFF
DOUMAYROU;Geoffrey;30;186;92;France;Centre;La Rochelle;Pro;JIFF
SINZELLE;Jérémy;29;184;88;France;Centre;La Rochelle;Pro;JIFF
POIROT;Jefferson;27;181;117;France;Pilier;Bordeaux;Pro;JIFF
STEYN;Morné;35;183;91;Afrique du sud;Ouverture;Paris;Pro;NON JIFF
SERIN;Baptiste;25;180;79;France;Mêlée;Toulon;Pro;JIFF
TAULEIGNE;Marco;26;191;115;France;3ème ligne;Bordeaux;Pro;JIFF Formé
PLACINES;Alban;26;189;110;France;3ème ligne;Toulouse;Pro;JIFF
VOTU;Watisoni;34;187;100;Fidji;Ailier;Pau;Pro;NON JIFF
ACQUIER;Thomas;30;181;112;France;Talonneur;Brive;Pro;JIFF
ROMANET;Franck;33;178;89;France;Ailier;Brive;Pro;JIFF
FITZPATRICK;Damien;30;183;105;Australie;Talonneur;Paris;Pro;NON JIFF
DUMORA;Julien;31;184;96;France;Arrière;Castres;Pro;JIFF
ARNOLD;Toby;32;178;86;Nouvelle-Zélande;Ailier;Lyon;Pro;NON JIFF
RATTEZ;Vincent;27;180;78;France;Arrière;La Rochelle;Pro;JIFF
FICHTEN;Grégory;29;183;124;France;Pilier;Montpellier;Pro;JIFF
HOUNKPATIN;Wilfrid;28;192;132;France;Pilier;Castres;Pro;JIFF
MARQUÈS;Samuel;31;177;76;France;Mêlée;Pau;Pro;JIFF
TETRASHVILI;Giorgi;26;177;112;Géorgie;Pilier;Agen;Pro;JIFF
HAMADACHE;Malik;31;193;141;France;Pilier;Pau;Pro;JIFF
REGARD;Thibaut;26;180;95;France;Centre;Lyon;Pro;JIFF Formé
VATUBUA;Jale;28;189;121;Fidji;Centre;Pau;Pro;JIFF Formé
RAMSAY;Daniel;35;197;114;Nouvelle-Zélande;2ème ligne;Pau;Pro;NON JIFF
DAUBAGNA;Thibault;25;177;80;France;Mêlée;Pau;Pro;JIFF Formé
FUMAT;Julien;32;180;83;France;Centre;Pau;Pro;JIFF Formé
MOÏSE;Geoffrey;28;187;130;France;Pilier;Pau;Pro;JIFF Formé
LE GUEN;Kévin;29;183;105;France;Talonneur;Racing 92;Pro;JIFF
PULETUA;Jordan;29;193;105;Samoa;Centre;Agen;Pro;NON JIFF
ULUGIA;John;34;180;115;Australie;Talonneur;Clermont;Pro;NON JIFF
DUBIÉ;Jean-Baptiste;30;181;85;France;Centre;Bordeaux;Pro;JIFF
ATONIO;Uini;29;196;152;Nouvelle-Zélande;Pilier;La Rochelle;Pro;NON JIFF
SAZY;Romain;33;199;105;France;2ème ligne;La Rochelle;Pro;JIFF
GOUJON;Loann;30;194;106;France;3ème ligne;Lyon;Pro;JIFF
TAU;Sione;30;192;105;Tonga;3ème ligne;Bayonne;Pro;NON JIFF
BALÈS;Alexi;29;174;80;France;Mêlée;La Rochelle;Pro;JIFF
PARIS;Taylor;27;185;93;Canada;Ailier;Castres;Pro;JIFF
LAMOULIE;Mathieu;29;184;93;France;Arrière;Agen;Pro;JIFF Formé
ABADIE;Paul;25;176;88;France;Mêlée;Agen;Pro;JIFF
AFATIA;Viliamu;29;189;124;Samoa;Pilier;Bayonne;Pro;NON JIFF
NICOT;Florian;33;184;95;France;Centre;Pau;Pro;JIFF
FALATEA;Tapu;31;187;137;France;Pilier;Castres;Pro;JIFF
BATLLE;Armand;32;188;92;France;Ailier;Castres;Pro;JIFF
PUECH;Martin;31;193;95;France;3ème ligne;Pau;Pro;JIFF
MIGNOT;Xavier;26;188;100;France;Ailier;Lyon;Pro;JIFF
PELO;Vincent;31;187;130;France;Pilier;La Rochelle;Pro;JIFF
MALIÉ;Charly;28;185;87;France;Arrière;Pau;Pro;JIFF
POINTUD;Lucas;32;189;127;France;Pilier;Pau;Pro;JIFF
IRIBAREN;Teddy;29;170;70;France;Mêlée;Racing 92;Pro;JIFF
JOLY;Arthur;31;189;123;France;Pilier;La Rochelle;Pro;JIFF
ERBANI;Antoine;30;192;100;France;3ème ligne;Pau;Pro;JIFF
LAGARDE;Raphaël;31;182;92;France;Ouverture;Agen;Pro;JIFF
GOURDON;Kévin;30;190;103;France;3ème ligne;La Rochelle;Pro;JIFF
PÉLISSIÉ;Adrien;29;181;110;France;Talonneur;Bordeaux;Pro;JIFF
FAJARDO;Brandon;25;181;77;France;Ouverture;Bayonne;Pro;JIFF
VIALELLE;Florian;26;185;88;France;Centre;Castres;Pro;JIFF Formé
BARTHÉLÉMY;Romain;30;186;97;France;Centre;Bayonne;Pro;JIFF
FRESIA;Florian;28;185;110;France;Pilier;Toulon;Pro;JIFF Formé
BELAN;Théo;27;187;94;France;Centre;Toulouse;Pro;JIFF
IMHOFF;Juan;31;185;90;Argentine;Ailier;Racing 92;Pro;NON JIFF
MAUROUARD;Jérémie;27;181;100;France;Talonneur;Lyon;Pro;JIFF
MAKA;Edwin;27;196;140;Tonga;2ème ligne;Bayonne;Pro;JIFF
CHALUREAU;Bastien;28;202;121;France;2ème ligne;Toulouse;Pro;JIFF
SANCHEZ;Nicolas;31;177;85;Argentine;Ouverture;Paris;Pro;NON JIFF
FOURCADE;Richard;26;200;110;France;2ème ligne;Brive;Pro;JIFF
DAGUIN;Clément;27;180;87;France;Mêlée;Paris;Pro;JIFF Formé
DESMAISON;Walter;28;188;119;France;Pilier;Agen;Pro;JIFF
CORBEL;Mike;27;179;118;France;Pilier;La Rochelle;Pro;JIFF
LEE;Fritz;31;188;107;Samoa;3ème ligne;Clermont;Pro;NON JIFF
FALGOUX;Etienne;27;182;112;France;Pilier;Clermont;Pro;JIFF Formé
BOUGHANMI;Mohamed;28;194;126;France;Pilier;Pau;Pro;JIFF
KIEFT;Zeno;28;191;102;Pays-Bas;3ème ligne;La Rochelle;Pro;JIFF Formé
EBERSOHN;Robert;30;180;89;Afrique du sud;Centre;Castres;Pro;NON JIFF
MÉRIC;Anthony;24;177;77;France;Mêlée;Toulon;Pro;JIFF Formé
ONAMBÉLÉ;Stéphane;27;188;94;France;3ème ligne;Toulon;Pro;JIFF
FA'ANUNU;Paea;31;191;125;Tonga;Pilier;Castres;Pro;NON JIFF
BARTHOMEUF;Marc;28;174;100;France;Talonneur;Agen;Pro;JIFF Formé
